p_00_1,0.497428191,0.49832812,0.499590022,0.499692192,0.500206785
p_00_2,0.496928456,0.49772652,0.499170021,0.499902589,0.499896585
p_10_1,0.49789897,0.49877512,0.498971322,0.498869269,0.498776667
p_10_2,0.497627945,0.49847647,0.498421333,0.498330219,0.498376787
p_01_1,0.497056968,0.498528024,0.499420381,0.499732153,0.50000467
p_01_2,0.491702138,0.495665248,0.498620927,0.499234702,0.49983921
p_11_1,0.497635804,0.498924795,0.49912347,0.499103589,0.498894256
p_11_2,0.495122372,0.494863284,0.495026425,0.495090482,0.49522311
p_02_1,0.497447893,0.498646791,0.499725696,0.499909435,0.49992578
p_02_2,0.496728567,0.497607468,0.499025775,0.500015747,0.50005588
p_12_1,0.498029317,0.498812321,0.499233333,0.498951232,0.498995284
p_12_2,0.497791372,0.498531236,0.498578693,0.498301465,0.498123273
p_03_1,0.496535778,0.498936791,0.499356795,0.499245859,0.49970667
p_03_2,0.496735793,0.498726805,0.499632607,0.49935469,0.49957984
p_13_1,0.497856904,0.498536128,0.498435127,0.498432178,0.49839632
p_13_2,0.497553596,0.498351291,0.498543333,0.498253726,0.49850313
p_04_1,0.497612739,0.498536127,0.499543219,0.499921378,0.499962176
p_04_2,0.496731681,0.498054432,0.499362157,0.499642389,0.499842782
p_14_1,0.498077219,0.49887216,0.499077237,0.499092368,0.498972213
p_14_2,0.497641391,0.49845111,0.498596667,0.49862316,0.498553123